id,language,sentence,tokenized_sentence,expression,category,indices
3641,tr,Bazen en sevilen aktiviteler bile tat vermez olur.,"['Bazen', 'en', 'sevilen', 'aktiviteler', 'bile', 'tat', 'vermez', 'olur', '.']",tat vermek,idiomatic,"[5, 6]"
3642,tr,Bu tatil planı bana pek tat vermedi.,"['Bu', 'tatil', 'planı', 'bana', 'pek', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[5, 6]"
3643,tr,Her gün aynı yolu yürümek zamanla tat vermiyor.,"['Her', 'gün', 'aynı', 'yolu', 'yürümek', 'zamanla', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[6, 7]"
3644,tr,Kısa bir mola bile bazen hayata tat verir.,"['Kısa', 'bir', 'mola', 'bile', 'bazen', 'hayata', 'tat', 'verir', '.']",tat vermek,idiomatic,"[6, 7]"
3645,tr,Tek başına film izlemek artık tat vermemeye başladı.,"['Tek', 'başına', 'film', 'izlemek', 'artık', 'tat', 'vermemeye', 'başladı', '.']",tat vermek,idiomatic,"[5, 6]"
3646,tr,Bu sunum dinleyicilere tat verdi mi sizce?,"['Bu', 'sunum', 'dinleyicilere', 'tat', 'verdi', 'mi', 'sizce', '?']",tat vermek,idiomatic,"[3, 4]"
3647,tr,Klasik müzik bana her zaman tat verir.,"['Klasik', 'müzik', 'bana', 'her', 'zaman', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3648,tr,Aynı soruları sormak kimseye tat vermez.,"['Aynı', 'soruları', 'sormak', 'kimseye', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[4, 5]"
3649,tr,Denemediğin yeni şeyler hayatına tat verebilir.,"['Denemediğin', 'yeni', 'şeyler', 'hayatına', 'tat', 'verebilir', '.']",tat vermek,idiomatic,"[4, 5]"
3650,tr,Uzun konuşmalar toplantıya hiç tat vermedi.,"['Uzun', 'konuşmalar', 'toplantıya', 'hiç', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[4, 5]"
3651,tr,Tat vermeyen işlerle zaman kaybetme.,"['Tat', 'vermeyen', 'işlerle', 'zaman', 'kaybetme', '.']",tat vermek,idiomatic,"[0, 1]"
3652,tr,Bazen sessizlik de ortamda tat verir.,"['Bazen', 'sessizlik', 'de', 'ortamda', 'tat', 'verir', '.']",tat vermek,idiomatic,"[4, 5]"
3653,tr,Sürekli aynı müziği dinlemek artık tat vermiyor.,"['Sürekli', 'aynı', 'müziği', 'dinlemek', 'artık', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[5, 6]"
3654,tr,Farklı tatlar denemek hayata renk ve tat verir.,"['Farklı', 'tatlar', 'denemek', 'hayata', 'renk', 've', 'tat', 'verir', '.']",tat vermek,idiomatic,"[6, 7]"
3655,tr,Sıradan günler bazen hiç tat vermez.,"['Sıradan', 'günler', 'bazen', 'hiç', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[4, 5]"
3656,tr,Tat veren şeylerden vazgeçmek zorundasın.,"['Tat', 'veren', 'şeylerden', 'vazgeçmek', 'zorundasın', '.']",tat vermek,idiomatic,"[0, 1]"
3657,tr,Tekrarlanan işler zamanla tat vermez hale gelir.,"['Tekrarlanan', 'işler', 'zamanla', 'tat', 'vermez', 'hale', 'gelir', '.']",tat vermek,idiomatic,"[3, 4]"
3658,tr,Olumsuz düşünceler hayatına tat vermesin.,"['Olumsuz', 'düşünceler', 'hayatına', 'tat', 'vermesin', '.']",tat vermek,idiomatic,"[3, 4]"
3659,tr,Monotonluk çoğu kişiye tat vermez.,"['Monotonluk', 'çoğu', 'kişiye', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[3, 4]"
3660,tr,Çabasız kazanılan başarılar insana tat vermez.,"['Çabasız', 'kazanılan', 'başarılar', 'insana', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[4, 5]"
3661,tr,Kısa sohbetler bazen daha çok tat verir.,"['Kısa', 'sohbetler', 'bazen', 'daha', 'çok', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3662,tr,Sürekli aynı yemekleri yemek artık hiç tat vermiyor.,"['Sürekli', 'aynı', 'yemekleri', 'yemek', 'artık', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[6, 7]"
3663,tr,Kış soğuğunda yapılan uzun yürüyüşler insana ayrı bir tat veriyor.,"['Kış', 'soğuğunda', 'yapılan', 'uzun', 'yürüyüşler', 'insana', 'ayrı', 'bir', 'tat', 'veriyor', '.']",tat vermek,idiomatic,"[8, 9]"
3664,tr,Sürekli tekrarlanan hikâyeler bir süre sonra tat vermez oldu.,"['Sürekli', 'tekrarlanan', 'hikâyeler', 'bir', 'süre', 'sonra', 'tat', 'vermez', 'oldu', '.']",tat vermek,idiomatic,"[6, 7]"
3665,tr,Yarım kalan sohbetler bana hiçbir zaman tat vermedi.,"['Yarım', 'kalan', 'sohbetler', 'bana', 'hiçbir', 'zaman', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[6, 7]"
3666,tr,"Bu yeni dizi, eski bölümleri kadar tat vermiyor mu?","['Bu', 'yeni', 'dizi', ',', 'eski', 'bölümleri', 'kadar', 'tat', 'vermiyor', 'mu', '?']",tat vermek,idiomatic,"[7, 8]"
3667,tr,Her sabah aynı rutinde uyanmak bir süre sonra tat vermez.,"['Her', 'sabah', 'aynı', 'rutinde', 'uyanmak', 'bir', 'süre', 'sonra', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[8, 9]"
3668,tr,Kahvenin yanında bir parça çikolata her zaman tat verir.,"['Kahvenin', 'yanında', 'bir', 'parça', 'çikolata', 'her', 'zaman', 'tat', 'verir', '.']",tat vermek,idiomatic,"[7, 8]"
3669,tr,Yalnız başına seyahat etmek insana bambaşka bir tat verir.,"['Yalnız', 'başına', 'seyahat', 'etmek', 'insana', 'bambaşka', 'bir', 'tat', 'verir', '.']",tat vermek,idiomatic,"[7, 8]"
3670,tr,Tek başına yemek yemek bana hiç tat vermedi.,"['Tek', 'başına', 'yemek', 'yemek', 'bana', 'hiç', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[6, 7]"
3671,tr,Söz konusu etkinlik bu sene pek tat vermedi.,"['Söz', 'konusu', 'etkinlik', 'bu', 'sene', 'pek', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[6, 7]"
3672,tr,"Edebiyatla ilgilenmek, hayata başka bir tat verir.","['Edebiyatla', 'ilgilienmek', ',', 'hayata', 'başka', 'bir', 'tat', 'verir', '.']",tat vermek,idiomatic,"[6, 7]"
3673,tr,Aynı şarkıyı tekrar tekrar dinlemek artık tat vermiyor.,"['Aynı', 'şarkıyı', 'tekrar', 'tekrar', 'dinlemek', 'artık', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[6, 7]"
3674,tr,"Küçük sürprizler, sıradan günlere tat verir.","['Küçük', 'sürprizler', ',', 'sıradan', 'günlere', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3675,tr,Uzun süredir aynı işi yapmak bir noktadan sonra tat vermiyor.,"['Uzun', 'süredir', 'aynı', 'işi', 'yapmak', 'bir', 'noktadan', 'sonra', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[8, 9]"
3676,tr,Farklı lezzetler denemek hayatıma tat veriyor.,"['Farklı', 'lezzetler', 'denemek', 'hayatıma', 'tat', 'veriyor', '.']",tat vermek,idiomatic,"[4, 5]"
3677,tr,Dostlarla geçirilen akşamlar bir başka tat veriyor.,"['Dostlarla', 'geçirilen', 'akşamlar', 'bir', 'başka', 'tat', 'veriyor', '.']",tat vermek,idiomatic,"[5, 6]"
3678,tr,Yıllar geçtikçe eski alışkanlıklar artık tat vermez hale geliyor.,"['Yıllar', 'geçtikçe', 'eski', 'alışkanlıklar', 'artık', 'tat', 'vermez', 'hale', 'geliyor', '.']",tat vermek,idiomatic,"[5, 6]"
3679,tr,"Birlikte çalışmak, tek başına uğraşmaktan çok daha fazla tat verir.","['Birlikte', 'çalışmak', ',', 'tek', 'başına', 'uğraşmaktan', 'çok', 'daha', 'fazla', 'tat', 'verir', '.']",tat vermek,idiomatic,"[9, 10]"
3680,tr,Tekdüze işler zamanla tat vermez.,"['Tekdüze', 'işler', 'zamanla', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[3, 4]"
3681,tr,Bir süre sonra o oyunlar çocuklara tat vermez.,"['Bir', 'süre', 'sonra', 'o', 'oyunlar', 'çocuklara', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[6, 7]"
3682,tr,Bunca yıl sonra aynı muhabbetler tat vermemeye başladı.,"['Bunca', 'yıl', 'sonra', 'aynı', 'muhabbetler', 'tat', 'vermemeye', 'başladı', '.']",tat vermek,idiomatic,"[5, 6]"
3683,tr,Günbatımını izlemek insana huzur ve tat verir.,"['Günbatımını', 'izlemek', 'insana', 'huzur', 've', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3684,tr,Sürekli aynı soruları sormak tat vermez.,"['Sürekli', 'aynı', 'soruları', 'sormak', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[4, 5]"
3685,tr,Kendi emeğinle başardığın işler bambaşka bir tat verir.,"['Kendi', 'emeğinle', 'başardığın', 'işler', 'bambaşka', 'bir', 'tat', 'verir', '.']",tat vermek,idiomatic,"[6, 7]"
3686,tr,"Yabancı bir şehirde kaybolmak maceraya tat katar, tat verir.","['Yabancı', 'bir', 'şehirde', 'kaybolmak', 'maceraya', 'tat', 'katar', ',', 'tat', 'verir', '.']",tat vermek,idiomatic,"[8, 9]"
3687,tr,Çay içmek güzel ama yanında sohbet olmayınca tat vermiyor.,"['Çay', 'içmek', 'güzel', 'ama', 'yanında', 'sohbet', 'olmayınca', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[7, 8]"
3688,tr,Yeni şeyler öğrenmek insanın hayatına tat verir.,"['Yeni', 'şeyler', 'öğrenmek', 'insanın', 'hayatına', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3689,tr,Onca hazırlıktan sonra iptal edilen planlar hiç tat vermedi.,"['Onca', 'hazırlıktan', 'sonra', 'iptal', 'edilen', 'planlar', 'hiç', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[7, 8]"
3690,tr,Farklı mekanlarda çalışmak bazen daha çok tat verebilir.,"['Farklı', 'mekanlarda', 'çalışmak', 'bazen', 'daha', 'çok', 'tat', 'verebilir', '.']",tat vermek,idiomatic,"[6, 7]"
3691,tr,Tekrar eden sözler bir noktadan sonra tat vermez.,"['Tekrar', 'eden', 'sözler', 'bir', 'noktadan', 'sonra', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[6, 7]"
3692,tr,Ders çalışmak bazen sıkıcı olsa da başarı tat verir.,"['Ders', 'çalışmak', 'bazen', 'sıkıcı', 'olsa', 'da', 'başarı', 'tat', 'verir', '.']",tat vermek,idiomatic,"[7, 8]"
3693,tr,Aynı esprilere sürekli gülmek bir süre sonra tat vermez.,"['Aynı', 'esprilere', 'sürekli', 'gülmek', 'bir', 'süre', 'sonra', 'tat', 'vermez', '.']",tat vermek,idiomatic,"[7, 8]"
3694,tr,Yaptığın şaka artık hiç tat vermiyor.,"['Yaptığın', 'şaka', 'artık', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[4, 5]"
3695,tr,Sürekli aynı konudan bahsetmek sohbetlere tat vermemeye başladı.,"['Sürekli', 'aynı', 'konudan', 'bahsetmek', 'sohbetlere', 'tat', 'vermemeye', 'başladı', '.']",tat vermek,idiomatic,"[5, 6]"
3696,tr,Bu kadar tekrar filmi hiç tat vermedi bana.,"['Bu', 'kadar', 'tekrar', 'filmi', 'hiç', 'tat', 'vermedi', 'bana', '.']",tat vermek,idiomatic,"[5, 6]"
3697,tr,Birlikte yaptığımız yürüyüşler her zamanki gibi tat verdi.,"['Birlikte', 'yaptığımız', 'yürüyüşler', 'her', 'zamanki', 'gibi', 'tat', 'verdi', '.']",tat vermek,idiomatic,"[6, 7]"
3698,tr,Yalnız içilen kahve pek tat vermiyor insana.,"['Yalnız', 'içilen', 'kahve', 'pek', 'tat', 'vermiyor', 'insana', '.']",tat vermek,idiomatic,"[4, 5]"
3699,tr,Oyun başlarda tat verdi ama sonlara doğru sıkıcılaştı.,"['Oyun', 'başlarda', 'tat', 'verdi', 'ama', 'sonlara', 'doğru', 'sıkıcılaştı', '.']",tat vermek,idiomatic,"[2, 3]"
3700,tr,Seninle konuşmak her zaman tat veriyor.,"['Seninle', 'konuşmak', 'her', 'zaman', 'tat', 'veriyor', '.']",tat vermek,idiomatic,"[4, 5]"
3701,tr,Aynı yemeği üç gün üst üste yemek tat vermedi.,"['Aynı', 'yemeği', 'üç', 'gün', 'üst', 'üste', 'yemek', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[7, 8]"
3702,tr,Kış geceleri okunan kitaplar bana her zaman tat verir.,"['Kış', 'geceleri', 'okunan', 'kitaplar', 'bana', 'her', 'zaman', 'tat', 'verir', '.']",tat vermek,idiomatic,"[7, 8]"
3703,tr,Monoton hayatlar sonunda hiç tat vermiyor.,"['Monoton', 'hayatlar', 'sonunda', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[4, 5]"
3704,tr,Güzel bir atmosfer olmadıkça konserler tat vermiyor.,"['Güzel', 'bir', 'atmosfer', 'olmadıkça', 'konserler', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[5, 6]"
3705,tr,Aynı espriye yüzüncü kez gülmek tat vermiyor artık.,"['Aynı', 'espriye', 'yüzüncü', 'kez', 'gülmek', 'tat', 'vermiyor', 'artık', '.']",tat vermek,idiomatic,"[5, 6]"
3706,tr,Dostlarla edilen muhabbet her zaman tat verir.,"['Dostlarla', 'edilen', 'muhabbet', 'her', 'zaman', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3707,tr,Sürekli ertelemek işleri tat vermez hale getiriyor.,"['Sürekli', 'ertelemek', 'işleri', 'tat', 'vermez', 'hale', 'getiriyor', '.']",tat vermek,idiomatic,"[3, 4]"
3708,tr,Yabancı dil öğrenmenin başlangıcı her zaman tat verir.,"['Yabancı', 'dil', 'öğrenmenin', 'başlangıcı', 'her', 'zaman', 'tat', 'verir', '.']",tat vermek,idiomatic,"[6, 7]"
3709,tr,Senin yokluğunda hiçbir şey tat vermedi bana.,"['Senin', 'yokluğunda', 'hiçbir', 'şey', 'tat', 'vermedi', 'bana', '.']",tat vermek,idiomatic,"[4, 5]"
3710,tr,Bu kadar sessizlik ortamda tat bırakmıyor.,"['Bu', 'kadar', 'sessizlik', 'ortamda', 'tat', 'bırakmıyor', '.']",tat vermek,idiomatic,"[4, 5]"
3711,tr,Aynı rutine dönmek hayatı tat vermez hale getirdi.,"['Aynı', 'rutine', 'dönmek', 'hayatı', 'tat', 'vermez', 'hale', 'getirdi', '.']",tat vermek,idiomatic,"[4, 5]"
3712,tr,Tartışmalar uzayınca toplantı hiç tat vermedi.,"['Tartışmalar', 'uzayınca', 'toplantı', 'hiç', 'tat', 'vermedi', '.']",tat vermek,idiomatic,"[4, 5]"
3713,tr,Çocukluk anılarını hatırlamak insana hep tat verir.,"['Çocukluk', 'anılarını', 'hatırlamak', 'insana', 'hep', 'tat', 'verir', '.']",tat vermek,idiomatic,"[5, 6]"
3714,tr,Aç karnına ders çalışmak bana hiç tat vermiyor.,"['Aç', 'karnına', 'ders', 'çalışmak', 'bana', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[6, 7]"
3715,tr,Klişe anlatımlar makalenin tat vermesini engelliyor.,"['Klişe', 'anlatımlar', 'makalenin', 'tat', 'vermesini', 'engelliyor', '.']",tat vermek,idiomatic,"[3, 4]"
3716,tr,Yalnız başına tatil yapmak sana tat verdi mi?,"['Yalnız', 'başına', 'tatil', 'yapmak', 'sana', 'tat', 'verdi', 'mi', '?']",tat vermek,idiomatic,"[5, 6]"
3717,tr,Sosyal medya tartışmaları artık hiç tat vermiyor.,"['Sosyal', 'medya', 'tartışmaları', 'artık', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[5, 6]"
3718,tr,Her sabah aynı manzaraya uyanmak tat vermez oldu.,"['Her', 'sabah', 'aynı', 'manzaraya', 'uyanmak', 'tat', 'vermez', 'oldu', '.']",tat vermek,idiomatic,"[5, 6]"
3719,tr,Yoğun çalışma temposu hayatımda tat bırakmadı.,"['Yoğun', 'çalışma', 'temposu', 'hayatımda', 'tat', 'bırakmadı', '.']",tat vermek,idiomatic,"[4, 5]"
3720,tr,Bunca yıl sonra aynı işi yapmak tat vermiyor.,"['Bunca', 'yıl', 'sonra', 'aynı', 'işi', 'yapmak', 'tat', 'vermiyor', '.']",tat vermek,idiomatic,"[6, 7]"
3721,tr,Bu marmelat dilimde harika bir tat verdi.,"['Bu', 'marmelat', 'dilimde', 'harika', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3722,tr,Limonlu kek beklediğimden daha az tat verdi.,"['Limonlu', 'kek', 'beklediğimden', 'daha', 'az', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3723,tr,Bu baharat çorbaya bambaşka bir tat verdi.,"['Bu', 'baharat', 'çorbaya', 'bambaşka', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3724,tr,Şeftali reçeli ağzımda tat vermedi.,"['Şeftali', 'reçeli', 'ağzımda', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3725,tr,Damakta uzun süre tat veren bir çikolata seçtim.,"['Damakta', 'uzun', 'süre', 'tat', 'veren', 'bir', 'çikolata', 'seçtim', '.']",tat vermek,literal,[-1]
3726,tr,Kahveye şeker atınca daha fazla tat verdi mi?,"['Kahveye', 'şeker', 'atınca', 'daha', 'fazla', 'tat', 'verdi', 'mi', '?']",tat vermek,literal,[-1]
3727,tr,Yoğurdun ekşiliği yeterince tat vermedi.,"['Yoğurdun', 'ekşiliği', 'yeterince', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3728,tr,Salatanın içindeki zeytinyağı hafifçe tat verdi.,"['Salatanın', 'içindeki', 'zeytinyağı', 'hafifçe', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3729,tr,Bu baharat karışımı yemeğe hiç tat vermiyor.,"['Bu', 'baharat', 'karışımı', 'yemeğe', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
3730,tr,"Kek pişerken yayılan koku, ağzıma tat verdi.","['Kek', 'pişerken', 'yayılan', 'koku', ',', 'ağzıma', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3731,tr,"Çayın içine eklediğim limon, içime hoş bir tat verdi.","['Çayın', 'içine', 'eklediğim', 'limon', ',', 'içime', 'hoş', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3732,tr,Şerbetin verdiği tat damakta kaldı.,"['Şerbetin', 'verdiği', 'tat', 'damakta', 'kaldı', '.']",tat vermek,literal,[-1]
3733,tr,Acı biber sosu yemeğe fazla tat verdi mi?,"['Acı', 'biber', 'sosu', 'yemeğe', 'fazla', 'tat', 'verdi', 'mi', '?']",tat vermek,literal,[-1]
3734,tr,"Tatlıların içinde kullanılan tarçın, ağızda güzel tat veriyor.","['Tatlıların', 'içinde', 'kullanılan', 'tarçın', ',', 'ağızda', 'güzel', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3735,tr,Sütün tazeliği ağzımda hemen tat verdi.,"['Sütün', 'tazeliği', 'ağzımda', 'hemen', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3736,tr,Peynirin tuzu fazla olunca ağızda kötü bir tat verdi.,"['Peynirin', 'tuzu', 'fazla', 'olunca', 'ağızda', 'kötü', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3737,tr,Yemeğin üstüne eklenen nar ekşisi güzel tat verdi.,"['Yemeğin', 'üstüne', 'eklenen', 'nar', 'ekşisi', 'güzel', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3738,tr,"Bu dondurma, ağızda serin bir tat veriyor.","['Bu', 'dondurma', ',', 'ağızda', 'serin', 'bir', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3739,tr,Sosun içindeki sarımsak tat vermedi.,"['Sosun', 'içindeki', 'sarımsak', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3740,tr,Acaba sütlü kahve daha fazla tat verir mi?,"['Acaba', 'sütlü', 'kahve', 'daha', 'fazla', 'tat', 'verir', 'mi', '?']",tat vermek,literal,[-1]
3741,tr,"Kek karışımına portakal kabuğu ekle, daha iyi tat verir.","['Kek', 'karışımına', 'portakal', 'kabuğu', 'ekle', ',', 'daha', 'iyi', 'tat', 'verir', '.']",tat vermek,literal,[-1]
3742,tr,"Hazır çorba, ev yapımı kadar tat vermiyor.","['Hazır', 'çorba', ',', 'ev', 'yapımı', 'kadar', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
3743,tr,Karpuzun çekirdeği ağızda hoş tat vermiyor.,"['Karpuzun', 'çekirdeği', 'ağızda', 'hoş', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
3744,tr,"Şekerli yoğurt, sade yoğurttan daha çok tat veriyor.","['Şekerli', 'yoğurt', ',', 'sade', 'yoğurttan', 'daha', 'çok', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3745,tr,"Balın verdiği tat, dilimde uzun süre kaldı.","['Balın', 'verdiği', 'tat', ',', 'dilimde', 'uzun', 'süre', 'kaldı', '.']",tat vermek,literal,[-1]
3746,tr,"Kavun, yeterince olgun değilse tat vermez.","['Kavun', ',', 'yeterince', 'olgun', 'değilse', 'tat', 'vermez', '.']",tat vermek,literal,[-1]
3747,tr,Nane yaprakları limonataya taze bir tat verdi.,"['Nane', 'yaprakları', 'limonataya', 'taze', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3748,tr,"Bazı baharatlar, yemeğin tadını bastırıp farklı bir tat verir.","['Bazı', 'baharatlar', ',', 'yemeğin', 'tadını', 'bastırıp', 'farklı', 'bir', 'tat', 'verir', '.']",tat vermek,literal,[-1]
3749,tr,"Bu pilav, tereyağı sayesinde enfes tat veriyor.","['Bu', 'pilav', ',', 'tereyağı', 'sayesinde', 'enfes', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3750,tr,"Çiğ badem, kavrulmuş kadar tat vermedi.","['Çiğ', 'badem', ',', 'kavrulmuş', 'kadar', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3751,tr,"Ekşi elma, ağzımda ferah bir tat verdi.","['Ekşi', 'elma', ',', 'ağzımda', 'ferah', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3752,tr,Yemekteki baharatlar ağza hoş bir tat verdi.,"['Yemekteki', 'baharatlar', 'ağza', 'hoş', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3753,tr,Bu çikolata damağımda yoğun bir tat veriyor.,"['Bu', 'çikolata', 'damağımda', 'yoğun', 'bir', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3754,tr,Sarımsaklı sos yemeğe ek bir tat verdi.,"['Sarımsaklı', 'sos', 'yemeğe', 'ek', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3755,tr,"Şekerli içecek, ağızda uzun süre tat bırakmadı.","['Şekerli', 'içecek', ',', 'ağızda', 'uzun', 'süre', 'tat', 'bırakmadı', '.']",tat vermek,literal,[-1]
3756,tr,Limon suyu salatanın lezzetine tat kattı ve ferahlık verdi.,"['Limon', 'suyu', 'salatanın', 'lezzetine', 'tat', 'kattı', 've', 'ferahlık', 'verdi', '.']",tat vermek,literal,[-1]
3757,tr,"Kahve, sabahları damağıma özel bir tat veriyor.","['Kahve', ',', 'sabahları', 'damağıma', 'özel', 'bir', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3758,tr,"Bu peynir, ağzında ilginç bir tat verir mi?","['Bu', 'peynir', ',', 'ağzında', 'ilginç', 'bir', 'tat', 'verir', 'mi', '?']",tat vermek,literal,[-1]
3759,tr,"Tatlı, beklediğim gibi tat vermedi.","['Tatlı', ',', 'beklediğim', 'gibi', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3760,tr,Bu meyve suyunun ne kadar tat verdiğini fark ettin mi?,"['Bu', 'meyve', 'suyunun', 'ne', 'kadar', 'tat', 'verdiğini', 'fark', 'ettin', 'mi', '?']",tat vermek,literal,[-1]
3761,tr,"Maden suyu, ağzıma hafif bir tat verdi.","['Maden', 'suyu', ',', 'ağzıma', 'hafif', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3762,tr,"Soğuk ayran, içtikten sonra dilime güzel bir tat verdi.","['Soğuk', 'ayran', ',', 'içtikten', 'sonra', 'dilime', 'güzel', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3763,tr,"Acı biber, ağızda uzun süreli bir tat veriyor.","['Acı', 'biber', ',', 'ağızda', 'uzun', 'süreli', 'bir', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3764,tr,Yemekteki baharatlar yemeğe fazla tat vermiş.,"['Yemekteki', 'baharatlar', 'yemeğe', 'fazla', 'tat', 'vermiş', '.']",tat vermek,literal,[-1]
3765,tr,"Çikolata, ağzımda tat vermediği için sevmedim.","['Çikolata', ',', 'ağzımda', 'tat', 'vermediği', 'için', 'sevmedim', '.']",tat vermek,literal,[-1]
3766,tr,Her yemeğe tuz eklemek tat vermiyor.,"['Her', 'yemeğe', 'tuz', 'eklemek', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
3767,tr,Bu meyve çeşitleri karışınca nasıl bir tat veriyor acaba?,"['Bu', 'meyve', 'çeşitleri', 'karışınca', 'nasıl', 'bir', 'tat', 'veriyor', 'acaba', '?']",tat vermek,literal,[-1]
3768,tr,Deniz mahsulleri yemeğe farklı bir tat verdi.,"['Deniz', 'mahsulleri', 'yemeğe', 'farklı', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3769,tr,Bu çeşniler çorbaya hiç tat vermedi.,"['Bu', 'çeşniler', 'çorbaya', 'hiç', 'tat', 'vermedi', '.']",tat vermek,literal,[-1]
3770,tr,"Kek, içine kattığım portakal kabuğuyla tat verdi.","['Kek', ',', 'içine', 'kattığım', 'portakal', 'kabuğuyla', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3771,tr,Biber sosu yemeğe gerçekten tat vermiş mi?,"['Biber', 'sosu', 'yemeğe', 'gerçekten', 'tat', 'vermiş', 'mi', '?']",tat vermek,literal,[-1]
3772,tr,Yemeklerin bazıları hiç tat vermiyor.,"['Yemeklerin', 'bazıları', 'hiç', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
3773,tr,"Çilekli yoğurt, çocuklara tat veriyor mu?","['Çilekli', 'yoğurt', ',', 'çocuklara', 'tat', 'veriyor', 'mu', '?']",tat vermek,literal,[-1]
3774,tr,"Damakta kalan bu hafif tat, uzun süre tat verdi.","['Damakta', 'kalan', 'bu', 'hafif', 'tat', ',', 'uzun', 'süre', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3775,tr,"Kekik, pizzaya harika bir tat verdi.","['Kekik', ',', 'pizzaya', 'harika', 'bir', 'tat', 'verdi', '.']",tat vermek,literal,[-1]
3776,tr,"Bu turşu, ağzında ekşi bir tat veriyor.","['Bu', 'turşu', ',', 'ağzında', 'ekşi', 'bir', 'tat', 'veriyor', '.']",tat vermek,literal,[-1]
3777,tr,Elmanın kabuğu bazen hoş tat vermiyor.,"['Elmanın', 'kabuğu', 'bazen', 'hoş', 'tat', 'vermiyor', '.']",tat vermek,literal,[-1]
